Source,Target,Type
399,1412,directed
400,1413,directed
401,1414,directed
402,1415,directed
403,1416,directed
404,1417,directed
405,1418,directed
406,1419,directed
407,1420,directed
408,1421,directed
409,1422,directed
410,1423,directed
411,1424,directed
412,1425,directed
413,1426,directed
414,1427,directed
415,1428,directed
416,1429,directed
417,1430,directed
418,1431,directed
419,1432,directed
420,1433,directed
421,1434,directed
422,1435,directed
423,1436,directed
424,1437,directed
425,1438,directed
426,1439,directed
427,1440,directed
428,1441,directed
429,1442,directed
430,1443,directed
431,1444,directed
432,1445,directed
433,1446,directed
434,1447,directed
435,1448,directed
436,1449,directed
437,1450,directed
438,1451,directed
439,1452,directed
440,1453,directed
441,1454,directed
442,791,directed
443,1455,directed
444,1456,directed
445,1457,directed
446,1458,directed
447,1459,directed
448,1460,directed
449,1461,directed
450,1462,directed
451,1463,directed
452,1464,directed
453,1465,directed
454,1466,directed
455,1467,directed
456,1223,directed
457,1468,directed
458,1469,directed
459,1470,directed
460,1471,directed
461,1472,directed
462,1473,directed
463,1474,directed
464,1475,directed
465,1476,directed
466,1477,directed
467,1478,directed
468,1479,directed
469,1480,directed
470,1481,directed
471,1482,directed
472,1483,directed
473,1484,directed
474,1485,directed
475,1486,directed
476,1487,directed
477,1488,directed
478,1489,directed
479,1490,directed
480,1491,directed
481,1492,directed
482,1493,directed
483,1494,directed
484,1495,directed
485,1496,directed
486,1497,directed
487,1498,directed
488,1499,directed
489,1500,directed
490,1501,directed
491,1502,directed
492,1503,directed
493,1504,directed
494,1505,directed
495,1506,directed
496,1507,directed
497,1508,directed
498,1509,directed
499,1510,directed
500,1511,directed
501,1512,directed
502,1513,directed
503,1514,directed
504,1515,directed
505,1516,directed
506,1517,directed
507,1518,directed
508,1519,directed
509,1520,directed
510,1521,directed
511,1522,directed
512,1523,directed
513,1524,directed
514,1525,directed
515,1526,directed
516,1527,directed
517,1528,directed
518,1529,directed
519,1530,directed
520,1531,directed
521,1532,directed
522,1533,directed
523,1534,directed
524,1535,directed
525,1536,directed
526,1537,directed
527,1538,directed
528,1539,directed
529,1540,directed
530,1541,directed
531,1542,directed
532,1543,directed
533,1544,directed
534,1545,directed
535,1546,directed
536,1547,directed
537,1548,directed
538,1549,directed
539,1550,directed
540,1551,directed
541,1552,directed
542,1553,directed
543,1554,directed
544,1555,directed
545,1556,directed
546,1557,directed
547,1558,directed
548,1559,directed
549,1560,directed
550,1561,directed
551,1562,directed
552,1563,directed
553,1564,directed
554,1565,directed
555,1566,directed
556,1567,directed
557,1568,directed
558,1569,directed
559,1570,directed
560,1571,directed
561,1572,directed
562,1573,directed
563,1574,directed
564,1575,directed
565,1576,directed
566,1577,directed
567,1578,directed
568,1579,directed
569,1580,directed
570,1581,directed
571,1582,directed
572,1583,directed
573,1584,directed
574,1585,directed
575,1586,directed
576,1587,directed
577,1588,directed
578,1589,directed
579,1590,directed
580,1591,directed
581,1592,directed
582,1593,directed
583,1594,directed
584,1595,directed
585,1596,directed
586,1597,directed
587,1598,directed
588,1599,directed
589,1600,directed
590,1601,directed
591,1602,directed
592,1603,directed
593,1604,directed
594,1605,directed
595,1606,directed
596,1607,directed
597,1608,directed
598,1609,directed
599,1610,directed
600,1611,directed
601,1612,directed
602,1613,directed
603,1614,directed
604,1615,directed
605,1616,directed
606,1617,directed
607,1618,directed
608,1619,directed
609,1620,directed
610,1621,directed
611,1622,directed
612,1623,directed
613,1624,directed
614,1625,directed
615,1626,directed
616,1627,directed
617,1628,directed
618,1629,directed
619,1630,directed
620,1631,directed
621,1632,directed
622,1633,directed
623,1634,directed
624,1635,directed
625,1636,directed
626,1637,directed
627,1638,directed
628,1639,directed
629,1640,directed
630,1641,directed
631,1642,directed
632,1643,directed
633,1644,directed
634,1645,directed
635,1646,directed
636,1647,directed
637,1648,directed
638,1649,directed
639,1650,directed
640,1651,directed
641,1652,directed
642,1653,directed
643,1654,directed
644,1655,directed
645,1656,directed
646,1657,directed
647,1658,directed
648,1659,directed
649,1660,directed
650,1661,directed
651,1662,directed
652,1663,directed
653,1664,directed
654,1665,directed
655,1666,directed
656,1667,directed
657,1668,directed
658,1669,directed
659,1670,directed
660,1671,directed
661,1672,directed
662,1673,directed
663,1674,directed
664,1675,directed
665,1676,directed
666,1677,directed
667,1678,directed
668,1679,directed
669,1680,directed
670,1681,directed
671,1682,directed
672,1683,directed
673,1684,directed
674,1685,directed
675,1686,directed
676,1687,directed
677,1688,directed
678,1689,directed
679,1690,directed
680,1691,directed
681,1692,directed
682,1693,directed
683,1694,directed
684,1695,directed
685,1696,directed
686,1697,directed
687,1698,directed
688,1699,directed
689,1700,directed
690,1701,directed
691,1702,directed
692,1703,directed
693,1704,directed
694,1705,directed
695,1706,directed
696,1707,directed
697,1708,directed
698,1709,directed
699,1710,directed
700,1711,directed
701,1712,directed
702,1713,directed
703,1714,directed
704,1715,directed
705,1716,directed
706,1717,directed
707,1718,directed
708,1719,directed
709,1720,directed
710,1721,directed
711,1722,directed
712,1723,directed
713,1724,directed
714,1725,directed
715,1726,directed
716,1727,directed
717,1728,directed
718,1729,directed
719,1730,directed
720,1731,directed
721,1459,directed
722,1732,directed
723,1733,directed
724,1734,directed
725,1735,directed
726,1736,directed
727,1737,directed
728,1738,directed
729,1739,directed
730,1740,directed
731,1741,directed
732,1742,directed
733,1743,directed
734,1744,directed
735,1745,directed
736,1746,directed
737,1747,directed
738,1748,directed
739,1749,directed
740,1750,directed
741,1751,directed
742,1752,directed
743,1753,directed
744,1754,directed
745,1755,directed
746,1756,directed
747,1757,directed
748,1758,directed
749,1759,directed
750,1760,directed
751,1761,directed
